HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_TIPAGRE,DIA_EMISION,MES_EMISION,ANO_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_AREA,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GURPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,AGRESORES_OTROS_TOTAL,AGR_OTROS_HOM,AGR_OTRAS_MUJ,AGR_OTROS_N_OS,AGR_OTRAS_N_AS,INST_DENUN_HECHO,LEY_APLICABLE,MEDIDAS_SEGURIDAD,TIPO_MEDIDA
3,1,2016,101,2122,4,1,2016,101,1,2,55,2,1,1,1,45,1,1,1,2, ,1,2, ,9,0,0,0,0,0,1,2, ,1,57,1,33,2,1,1,1,7534, ,0,0,0,0,0,4,1,1,I
3,1,2016,101,2122,4,1,2016,101,1,2,26,2,1,1,1,45,2,1,1,1,4120, ,2, ,1,0,0,0,0,0,1,2, ,1,25,1,99,2,1,1,1,4211, ,0,0,0,0,0,4,1,1,IJ
2,1,2016,101,2122,4,1,2016,101,1,2,99,2,1,1,1,26,2,1,1,2, ,1,2, ,10,0,0,0,0,0,1,2, ,1,29,1,26,1,1,1,1,7112, ,0,0,0,0,0,4,1,1,IJ
30,12,2015,101,1122,4,1,2016,101,1,2,22,1,0,1,1,33,9,1,1,1,5311, ,2, ,3,0,0,0,0,0,1,2, ,1,27,1,45,9,1,1,1,5414, ,0,0,0,0,0,4,1,1,IJ
4,1,2016,101,2122,4,1,2016,101,1,2,17,1,0,1,1,31,9,1,1,1,9510, ,2, ,3,0,0,0,0,0,1,2, ,1,21,1,32,9,1,1,2, ,4,0,0,0,0,0,4,1,1,IJ
31,12,2015,101,2122,4,1,2016,101,1,2,23,1,0,1,1,33,9,1,1,2, ,1,2, ,3,0,0,0,0,0,1,2, ,1,33,1,26,9,1,1,1,7411, ,0,0,0,0,0,4,1,1,IJ
4,1,2016,101,1222,5,1,2016,101,9,2,57,0,0,0,1,31,1,1,1,2, ,1,2, ,9,0,0,0,0,0,1,2, ,1,52,1,32,1,1,1,1,8322, ,0,0,0,0,0,4,1,1,IJ
4,1,2016,101,1122,5,1,2016,101,9,2,24,1,0,1,1,53,1,1,1,1,4211, ,2, ,10,0,0,0,0,0,1,2, ,2,39,1,33,1,1,1,1,9111, ,0,0,0,0,0,4,1,1,I
3,1,2016,101,2122,5,1,2016,101,1,2,23,2,1,1,1,26,9,1,1,2, ,1,2, ,3,0,0,0,0,0,1,1,1,1,39,1,26,9,1,1,1,5249, ,0,0,0,0,0,4,1,1,IJ
99,99,9999,101,2122,5,1,2016,101,1,2,32,2,2,0,1,45,9,1,1,1,4120, ,2, ,3,0,0,0,0,0,1,1,9,1,34,1,45,9,1,1,1,4321, ,0,0,0,0,0,4,1,1,IJ
