HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_TIPAGRE,DIA_EMISION,MES_EMISION,ANO_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_AREA,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GURPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,AGRESORES_OTROS_TOTAL,AGR_OTROS_HOM,AGR_OTRAS_MUJ,AGR_OTROS_N_OS,AGR_OTRAS_N_AS,INST_DENUN_HECHO,LEY_APLICABLE,MEDIDAS_SEGURIDAD,TIPO_MEDIDA
99,99,9999,1604,1222,18,3,2014,1601,9,2,3,,,,,,,2,1,,,,2,,4,1,0,1,0,0,1,2,,1,99,1,49,2,2,1,1,3221.0,,1,0,1,0,0,1,,,
99,99,9999,1601,2112,11,8,2014,1601,1,2,7,,,,1.0,21.0,,1,1,2.0,,3.0,2,,10,0,0,0,0,0,1,2,,1,19,1,45,1,1,1,2,,3.0,99,99,99,99,99,1,,,
99,99,9999,401,2212,30,5,2014,401,3,2,9,,,,1.0,23.0,,2,1,2.0,,3.0,2,,5,0,0,0,0,0,1,2,,1,40,1,25,3,2,1,1,6111.0,,0,0,0,0,0,6,,,
99,99,9999,1601,2212,3,7,2014,1601,3,2,10,,,,1.0,23.0,,9,1,2.0,,3.0,2,,9,99,99,99,99,99,9,2,,1,20,1,99,1,2,1,1,9211.0,,99,99,99,99,99,1,,,
99,99,9999,1504,2112,19,8,2014,1504,1,2,11,,,,1.0,29.0,,2,1,2.0,,3.0,2,,10,99,99,99,99,99,1,2,,1,18,1,99,1,6,1,1,9313.0,,99,99,99,99,99,4,3.0,1.0,
99,99,9999,304,2122,2,1,2014,304,2,2,12,99.0,99.0,99.0,1.0,25.0,9.0,2,1,2.0,,3.0,2,,1,99,99,99,99,99,1,2,,1,20,1,23,9,2,1,1,6111.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,307,2122,22,5,2014,307,3,2,12,99.0,99.0,99.0,1.0,26.0,1.0,6,1,2.0,,3.0,2,,4,0,0,0,0,0,1,2,,1,31,1,23,2,6,1,1,7112.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,1610,2212,12,2,2014,1601,1,2,13,99.0,99.0,99.0,1.0,39.0,9.0,2,1,2.0,,3.0,2,,3,99,99,99,99,99,1,2,,1,14,1,39,9,2,1,2,,3.0,99,99,99,99,99,1,,,
99,99,9999,1602,2212,4,3,2014,1601,1,2,13,99.0,99.0,99.0,9.0,99.0,1.0,2,1,2.0,,1.0,2,,5,99,99,99,99,99,1,2,,1,99,1,99,9,1,1,1,9999.0,,99,99,99,99,99,1,,,
99,99,9999,1615,2212,2,5,2014,1601,3,2,13,1.0,1.0,0.0,1.0,23.0,3.0,2,1,2.0,,1.0,2,,2,99,99,99,99,99,2,2,,1,22,1,33,3,2,1,1,310.0,,99,99,99,99,99,1,,,
99,99,9999,2201,2121,2,1,2014,2201,1,2,14,0.0,0.0,0.0,1.0,26.0,2.0,1,1,2.0,,1.0,2,,1,99,99,99,99,99,2,2,,1,19,1,33,2,1,1,1,310.0,,99,99,99,99,99,3,,,
99,99,9999,1609,2212,11,3,2014,1601,9,2,14,1.0,0.0,1.0,1.0,29.0,9.0,2,1,2.0,,1.0,2,,2,99,99,99,99,99,9,2,,1,16,1,29,9,2,1,1,7112.0,,99,99,99,99,99,1,,,
99,99,9999,1004,1122,6,4,2014,1004,1,2,15,0.0,0.0,0.0,1.0,29.0,3.0,1,1,2.0,,1.0,2,,2,0,0,0,0,0,1,2,,1,99,1,99,3,1,1,9,,,0,0,0,0,0,3,,,
99,99,9999,1613,1122,18,6,2014,1617,1,2,15,0.0,0.0,0.0,2.0,10.0,3.0,2,1,2.0,,1.0,2,,2,99,99,99,99,99,1,2,,1,23,1,24,3,2,1,1,9999.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,1904,1122,14,7,2014,1904,1,2,15,0.0,0.0,0.0,1.0,39.0,9.0,1,1,1.0,9111.0,,2,,2,0,0,0,0,0,1,2,,1,99,2,10,3,1,1,2,,2.0,0,0,0,0,0,3,,,
99,99,9999,1502,2122,3,9,2014,1502,1,2,15,99.0,99.0,99.0,1.0,26.0,2.0,2,1,2.0,,1.0,2,,1,99,99,99,99,99,1,2,,1,29,1,26,2,2,1,1,6111.0,,99,99,99,99,99,4,3.0,1.0,
99,99,9999,1713,1122,2,2,2014,1713,1,2,16,1.0,0.0,1.0,1.0,99.0,3.0,1,1,2.0,,1.0,2,,2,1,0,0,0,1,2,2,,1,30,1,10,3,1,1,1,9211.0,,0,0,0,0,0,3,,,
99,99,9999,2003,1121,16,4,2014,2001,1,2,16,99.0,99.0,99.0,1.0,31.0,9.0,1,1,2.0,,1.0,2,,3,0,0,0,0,0,1,2,,1,20,1,26,9,1,1,1,5249.0,,0,0,0,0,0,3,,,
99,99,9999,116,1122,2,5,2014,116,1,2,16,1.0,0.0,1.0,1.0,31.0,9.0,1,1,2.0,,1.0,1,9.0,3,99,99,99,99,99,1,1,3.0,1,17,1,31,9,1,1,1,5249.0,,99,99,99,99,99,1,,,
99,99,9999,2217,2122,12,5,2014,2217,9,2,16,99.0,99.0,99.0,1.0,23.0,9.0,1,1,2.0,,1.0,2,,3,99,99,99,99,99,9,2,,1,30,1,31,9,1,1,1,6111.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,1501,1222,11,6,2014,1501,1,2,16,99.0,99.0,99.0,9.0,99.0,9.0,6,1,9.0,,,9,,2,99,99,99,99,99,2,2,,1,21,9,99,9,6,1,9,,,99,99,99,99,99,1,,,
99,99,9999,1610,2112,28,8,2014,1601,1,2,16,0.0,0.0,0.0,1.0,44.0,1.0,1,1,2.0,,3.0,2,,10,1,0,0,0,1,2,2,,1,99,1,45,5,2,1,1,3221.0,,99,99,99,99,99,1,,,
99,99,9999,103,2122,30,9,2014,103,2,2,16,0.0,0.0,0.0,1.0,39.0,9.0,1,9,2.0,,3.0,2,,3,99,99,99,99,99,1,9,,1,99,1,29,9,1,1,1,6111.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,1109,1122,1,9,2014,1109,1,2,16,0.0,0.0,0.0,1.0,26.0,2.0,1,1,2.0,,1.0,2,,1,0,0,0,0,0,2,2,,1,25,1,23,2,1,1,1,9211.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,101,2121,18,11,2014,101,1,2,16,1.0,1.0,0.0,1.0,26.0,2.0,1,1,2.0,,1.0,2,,1,1,0,0,1,0,1,2,,1,27,1,33,2,1,1,1,9313.0,,99,99,99,99,99,2,,,
99,99,9999,1709,1122,19,11,2014,1712,1,2,16,1.0,1.0,0.0,1.0,24.0,3.0,1,1,2.0,,1.0,2,,4,0,0,0,0,0,1,2,,2,45,1,10,2,1,1,2,,1.0,0,0,0,0,0,4,1.0,1.0,
99,99,9999,2212,1222,24,2,2014,2212,1,2,17,99.0,99.0,99.0,1.0,39.0,9.0,1,1,2.0,,1.0,2,,2,99,99,99,99,99,1,2,,1,20,1,39,9,1,1,1,6111.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,1607,2122,3,3,2014,1607,1,2,17,99.0,99.0,99.0,1.0,25.0,9.0,2,1,2.0,,1.0,2,,2,99,99,99,99,99,2,2,,1,99,1,24,9,2,1,1,6111.0,,99,99,99,99,99,4,1.0,1.0,
99,99,9999,1614,1222,19,3,2014,1614,1,2,17,99.0,99.0,99.0,1.0,29.0,3.0,2,1,2.0,,1.0,2,,2,99,99,99,99,99,2,2,,1,22,1,29,3,2,1,1,6111.0,,99,99,99,99,99,3,,,
99,99,9999,909,1121,9,4,2014,909,1,2,17,1.0,1.0,0.0,1.0,29.0,2.0,2,1,2.0,,1.0,2,,1,1,0,0,1,0,2,2,,1,17,2,10,2,2,1,1,9211.0,,0,0,0,0,0,4,3.0,1.0,
99,99,9999,311,2122,27,5,2014,311,1,2,17,99.0,99.0,99.0,1.0,29.0,2.0,2,1,2.0,,1.0,2,,1,99,99,99,99,99,1,2,,1,18,9,99,2,2,1,1,6111.0,,99,99,99,99,99,3,,,
99,99,9999,1613,1222,1,5,2014,1613,1,2,17,99.0,99.0,99.0,1.0,22.0,9.0,2,1,2.0,,1.0,2,,2,99,99,99,99,99,2,2,,1,18,1,99,9,2,1,1,310.0,,99,99,99,99,99,1,,,
99,99,9999,1601,1122,29,9,2014,1601,1,2,17,1.0,0.0,1.0,1.0,44.0,9.0,1,1,2.0,,3.0,2,,3,0,0,0,0,0,1,2,,1,23,1,49,9,1,1,2,,3.0,1,0,1,0,0,1,,,
99,99,9999,606,1222,3,10,2014,606,1,2,17,99.0,99.0,99.0,1.0,33.0,3.0,1,1,2.0,,1.0,2,,2,99,99,99,99,99,1,2,,1,50,1,26,3,1,1,1,6111.0,,99,99,99,99,99,3,,,
99,99,9999,2204,2122,29,1,2014,2204,1,2,18,1.0,0.0,1.0,1.0,29.0,1.0,9,1,2.0,,1.0,2,,10,99,99,99,99,99,9,2,,1,54,1,29,2,1,1,1,6111.0,,99,99,99,99,99,4,3.0,1.0,
